,date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,nfs_through_atms_vol,nfs_through_atms_val,aeps_through_micro_atms_or_bcs_vol,aeps_through_micro_atms_or_bcs_val,credit_card_at_pos_and_e_commerce_vol,credit_card_at_pos_and_e_commerce_val,debit_card_at_pos_and_e_commerce_vol,debit_card_at_pos_and_e_commerce_val,ppis_card_at_pos_and_e_commerce_vol,ppis_card_at_pos_and_e_commerce_val,government_securities_clearing_vol,government_securities_clearing_val,forex_clearing_vol,forex_clearing_val,rupee_derivatives_vol,rupee_derivatives_val,credit_card_at_pos_vol,credit_card_at_pos_val,credit_card_at_e_commerce_vol,credit_card_at_e_commerce_val,debit_card_at_pos_vol,debit_card_at_pos_val,debit_card_at_e_commerce_vol,debit_card_at_e_commerce_val,ppis_card_at_pos_vol,ppis_card_at_pos_val,ppis_card_at_e_commerce_vol,ppis_card_at_e_commerce_val
64,04-08-2020,5.5,285509.58,111.28,78472.78,0.54,8.33,526.55,11230.53,84.43,9259.91,103.49,2487.46,43.02,3939.42,28.21,47.17,6.44,118.16,24.32,19931.51,99.15,4526.65,24.24,636.38,,,,,,,,,,,,,,,,,,,,,,,,
65,05-08-2020,4.81,322914.36,99.21,77829.51,0.56,8.6,492.26,10226.47,83.36,8887.28,90.82,3052.87,98.14,9489.02,29.28,50.44,5.89,108.56,22.85,18426.54,96.99,4339.99,23.94,603.33,,,,,,,,,,,,,,,,,,,,,,,,
66,06-08-2020,5,336090.74,103.43,86625.32,0.61,9.21,459.74,9517.22,84.6,8626.75,137.43,2481.62,21.18,2505.4,30.46,53.46,6.94,120.51,23.08,18415.83,104.16,4629.47,25.95,644.11,,,,,,,,,,,,,,,,,,,,,,,,
67,07-08-2020,5.7,316649.38,132.89,93507.61,0.57,8.47,504.21,10464.83,86.54,9085.15,82.02,3806.89,58.39,3934.76,32.12,56.37,6.98,120.8,23.64,18666.74,111.16,4913.26,26.86,652.3,,,,,,,,,,,,,,,,,,,,,,,,
68,08-08-2020,,,16.45,8205.33,0.38,5.99,538.93,9938.8,77.43,7139.57,,,,,32.41,57.91,6.63,99.88,,,99.94,4293.32,18.82,454.13,,,,,,,,,,,,,,,,,,,,,,,,
69,09-08-2020,,,9.35,2915.89,0.37,5.26,440.12,6578.76,59.3,4529.82,870.09,17401.91,,,28.05,54.17,5.79,84.65,,,73.28,2855.34,18.25,407.29,,,,,,,,,,,,,,,,,,,,,,,,
70,10-08-2020,7.03,428330.23,140.47,97391.69,1.04,14.69,511.87,10388.9,93.32,9889.43,136.79,3824.46,89.69,9079.45,30.39,51.76,8.33,154.24,33.12,23984.94,119.98,5165.17,46.31,1053.55,,,,,,,,,,,,,,,,,,,,,,,,
71,11-08-2020,4.76,284861.41,91.87,66477.69,0.92,12.9,578.27,11411.04,86.35,8468.22,52.8,968.03,23.42,2548.4,30.67,54.89,8.2,142.02,24.8,18302.62,114.06,4880.5,40.87,940.91,,,,,,,,,,,,,,,,,,,,,,,,
72,12-08-2020,3.65,250174.72,83.68,58909.3,0.87,12.32,558.47,10962.22,81.66,7844.86,56.24,2561.6,19.25,1939.61,30.27,55.01,8.21,137.3,16.76,13221.68,102.36,4314.02,34.09,798.42,,,,,,,,,,,,,,,,,,,,,,,,
73,13-08-2020,5.55,308727.69,98.59,83811.41,0.79,11.72,539.19,10585.91,81.31,8194.45,91.88,2020.5,17.74,1514.35,31.19,55.02,8.69,150.84,25.22,20332.5,98.22,4138.43,33.68,830.73,,,,,,,,,,,,,,,,,,,,,,,,
74,14-08-2020,5.72,365422.75,92.07,83445.98,0.9,12.64,539.34,10316.23,82.18,8104.78,107.02,3245.09,21.08,1780.12,32.54,56.05,8.17,145,23.34,18931.77,105.88,4374.93,34.84,862.35,,,,,,,,,,,,,,,,,,,,,,,,
75,15-08-2020,,,8.89,3931.87,0.58,8.72,489.26,7615.92,66.09,5083.94,,,,,29.85,54.61,6.25,92.16,,,87.23,3402.55,22.73,550.25,,,,,,,,,,,,,,,,,,,,,,,,
76,16-08-2020,,,6.59,2450.05,0.48,6.62,460.73,6513.29,55.73,3890.45,,,,,26.69,49.75,6.41,90.41,,,67.45,2474.02,17.76,410.2,,,,,,,,,,,,,,,,,,,,,,,,
